"Date","Open","High","Low","Close","Volume"
"07/25/2025","173.61","174.72","172.96","173.5","122,316,800"
"07/24/2025","172.44","173.83","171.3","173.74","128,984,600"
"07/23/2025","169.53","171.26","167.97","170.78","154,082,200"
"07/22/2025","171.34","171.39","164.58","167.03","193,114,300"
"07/21/2025","172.75","173.38","171","171.38","123,126,100"
"07/18/2025","173.64","174.25","171.26","172.41","146,456,400"
"07/17/2025","172.02","174.16","170.83","173","160,841,100"
"07/16/2025","171.06","171.75","168.9","171.37","158,831,500"
"07/15/2025","171.19","172.4","169.195","170.7","230,627,400"
"07/14/2025","165.37","165.49","162.02","164.07","136,975,800"
"07/11/2025","163.715","167.89","163.47","164.92","193,633,300"
"07/10/2025","164.32","164.5","161.61","164.1","167,704,100"
"07/09/2025","161.22","164.42","161.16","162.88","183,656,400"
"07/08/2025","159.33","160.22","158.39","160","138,133,000"
"07/07/2025","158.2","159.31","157.342","158.24","140,139,000"
"07/03/2025","158.37","160.98","157.77","159.34","143,716,100"
"07/02/2025","152.98","157.6","152.97","157.25","171,224,100"
"07/01/2025","156.29","157.2","151.49","153.3","213,143,600"
"06/30/2025","158.4","158.66","155.96","157.99","194,580,300"
"06/27/2025","156.04","158.71","155.255","157.75","263,234,500"
"06/26/2025","155.975","156.715","154","155.02","198,145,700"
"06/25/2025","149.27","154.45","149.26","154.31","269,146,500"
"06/24/2025","145.56","147.96","145.5","147.9","187,566,100"
"06/23/2025","142.5","144.78","142.03","144.17","154,308,900"
"06/20/2025","145.45","146.2","142.65","143.85","242,956,200"
"06/18/2025","144.005","145.65","143.12","145.48","161,494,100"
"06/17/2025","144.49","145.22","143.78","144.12","139,108,000"
"06/16/2025","143.345","146.175","143.2001","144.69","183,133,700"
"06/13/2025","142.48","143.58","140.855","141.97","180,820,600"
"06/12/2025","141.97","145","141.85","145","162,365,000"
"06/11/2025","144.61","144.99","141.87","142.83","167,694,000"
"06/10/2025","142.69","144.29","141.525","143.96","155,881,900"
"06/09/2025","143.19","145","141.94","142.63","185,114,500"
"06/06/2025","142.51","143.27","141.51","141.72","153,986,200"
"06/05/2025","142.17","144","138.83","139.99","232,410,800"
"06/04/2025","142.19","142.39","139.545","141.92","167,120,800"
"06/03/2025","138.78","142","137.95","141.22","225,578,800"
"06/02/2025","135.49","138.12","135.4","137.38","197,663,100"
"05/30/2025","138.715","139.62","132.92","135.13","333,170,900"
"05/29/2025","142.245","143.49","137.91","139.19","370,615,200"
"05/28/2025","136.025","137.25","134.79","134.81","304,021,100"
"05/27/2025","134.15","135.66","133.31","135.5","192,953,600"
"05/23/2025","130","132.68","129.16","131.29","198,821,300"
"05/22/2025","132.23","134.25","131.55","132.83","187,344,000"
"05/21/2025","133.06","137.4","130.59","131.8","270,608,700"
"05/20/2025","134.29","134.58","132.62","134.38","161,514,200"
"05/19/2025","132.39","135.87","132.39","135.57","193,154,600"
"05/16/2025","136.22","136.35","133.46","135.4","226,542,500"
"05/15/2025","134.295","136.3","132.66","134.83","226,632,600"
"05/14/2025","133.195","135.435","131.68","135.34","281,180,800"
"05/13/2025","124.98","131.2189","124.47","129.93","330,430,100"
"05/12/2025","121.97","123","120.28","123","225,023,300"
"05/09/2025","117.35","118.23","115.21","116.65","132,972,200"
"05/08/2025","118.25","118.68","115.85","117.37","198,428,100"
"05/07/2025","113.045","117.68","112.2818","117.06","207,827,800"
